        n    z      alpha(keV)
2429   84   47       -9.4E+3 8
2430   84   47       -9.4E+3 8
2431   84   47       -9.4E+3 8
2432   81   47      -1.24E+4 5
2433   81   47      -1.24E+4 5
2434   82   47      -1.25E+4 6
2435   82   47      -1.25E+4 6
2436   82   47      -1.25E+4 6
2437   82   47      -1.25E+4 6
2438   80   47      -1.19E+4 4
2439   74   47        -7931 15
2440   74   47        -7931 15
2441   75   47      -8.64E+3 5
2442   75   47      -8.64E+3 5
2443   75   47      -8.64E+3 5
2444   75   47      -8.64E+3 5
2445   75   47      -8.64E+3 5
2446   75   47      -8.64E+3 5
2447   75   47      -8.64E+3 5
2448   72   47        -6841 16
2449   72   47        -6841 16
2450   73   47      -7.34E+3 7
2451   73   47      -7.34E+3 7
2452   73   47      -7.34E+3 7
2453   73   47      -7.34E+3 7
2454   70   47        -5840 15
2455   70   47        -5840 15
2456   70   47        -5840 15
2457   71   47      -6.27E+3 7
2458   71   47      -6.27E+3 7
2459   71   47      -6.27E+3 7
2460   78   47      -1.07E+4 8
2461   78   47      -1.07E+4 8
2462   78   47      -1.07E+4 8
2463   78   47      -1.07E+4 8
2464   79   47      -1.13E+4 4
2465   79   47      -1.13E+4 4
2466   79   47      -1.13E+4 4
2467   76   47      -9.17E+3 3
2468   76   47      -9.17E+3 3
2469   77   47      -1.00E+4 3
2470   77   47      -1.00E+4 3
2471   77   47      -1.00E+4 3
2472   77   47      -1.00E+4 3
2473   77   47      -1.00E+4 3
2474   77   47      -1.00E+4 3
2475   63   47         -3520 6
2476   63   47         -3520 6
2477   63   47         -3520 6
2478   63   47         -3520 6
2479   64   47        -3777 12
2480   64   47        -3777 12
2481   64   47        -3777 12
2482   61   47         -3072 3
2483   61   47         -3072 3
2484   61   47         -3072 3
2485   61   47         -3072 3
2486   62   47       6484.2 14
2487   62   47         -3293 3
2488   60   47       5788.1 23
2489   60   47         -2800 3
2490   69   47      -5.24E+3 4
2491   69   47      -5.24E+3 4
2492   69   47      -5.24E+3 4
2493   69   47      -5.24E+3 4
2494   69   47      -5.24E+3 4
2495   67   47        -4527 18
2496   68   47        -5104 20
2497   68   47        -5104 20
2498   68   47        -5104 20
2499   65   47        -3977 14
2500   66   47        -4452 17
2501   66   47        -4452 17
2502   66   47        -4452 17
2503   52   47          -797 7
2504   52   47          -797 7
2505   53   47         -875 11
2506   53   47         -875 11
2507   53   47         -875 11
2508   50   47        -4317 12
2509   51   47      -2.58E+3 3
2510   51   47      -2.58E+3 3
2511   58   47         -2083 7
2512   58   47         -2083 7
2513   58   47         -2083 7
2514   59   47         -2584 7
2515   59   47         -2584 7
2516   59   47         -2584 7
2517   56   47        -1643 20
2518   56   47        -1643 20
2519   57   47        -1950 19
2520   57   47        -1950 19
2521   57   47        -1950 19
2522   54   47      -1.16E+3 4
2523   54   47      -1.16E+3 4
2524   55   47        -1496 14
2525   55   47        -1496 14
2526   55   47        -1496 14
2527   49   47      -3.94E+3 9
2528   49   47      -3.94E+3 9
2529   49   47      -3.94E+3 9
2530   49   47      -3.94E+3 9
2531   47   47       -3.2E+3 4
2532   47   47       -3.2E+3 4
2533   47   47       -3.2E+3 4
2534   47   47       -3.2E+3 4
2535   47   47       -3.2E+3 4
2536   47   47       -3.2E+3 4
2537   47   47       -3.2E+3 4
2538   47   47       -3.2E+3 4
2539   48   47       -3.8E+3 5
2540   48   47       -3.8E+3 5
2541   48   47       -3.8E+3 5
2542   45   47       -1.4E+3 6
2543   46   47       -3.2E+3 5
2544   46   47       -3.2E+3 5
2545   46   47       -3.2E+3 5
2546   64   48       9648.4 14
2547   65   48      -3861.7 11
2548   65   48      -3861.7 11
2549   65   48      -3861.7 11
2550   62   48       8917.5 13
2551   63   48       9083.9 13
2552   63   48      -3304.5 13
2553   60   48      -2282.2 17
2554   61   48      -2511.3 19
2555   68   48         -4816 7
2556   69   48         -5253 7
2557   69   48         -5253 7
2558   66   48       -4108.9 6
2559   67   48      -4523.5 10
2560   67   48      -4523.5 10
2561   53   48          -456 5
2562   54   48          -764 5
2563   51   48         -2390 3
2564   51   48         -2390 3
2565   51   48         -2390 3
2566   52   48          -436 5
2567   50   48      -3.96E+3 5
2568   50   48      -3.96E+3 5
2569   59   48      -1958.3 19
2570   57   48         -1327 5
2571   58   48      -1654.1 12
2572   55   48          -894 5
2573   56   48        -1181 18
2574   48   48       -3.2E+3 5
2575   49   48       -4.2E+3 6
2576   49   48       -4.2E+3 6
2577   49   48       -4.2E+3 6
2578   49   48       -4.2E+3 6
2579   46   48        1.3E+3 6
2580   47   48       -3.3E+3 7
2581   47   48       -3.3E+3 7
2582   86   48       -9.2E+3 4
2583   86   48       -9.2E+3 4
2584   86   48       -9.2E+3 4
2585   87   48            0 0
2586   84   48       -8.5E+3 5
2587   84   48       -8.5E+3 5
2588   85   48       -8.7E+3 6
2589   85   48       -8.7E+3 6
2590   85   48       -8.7E+3 6
2591   82   48      -1.18E+4 4
2592   82   48      -1.18E+4 4
2593   83   48      -1.04E+4 5
2594   83   48      -1.04E+4 5
2595   80   48      -1.13E+4 3
2596   81   48      -1.16E+4 4
2597   81   48      -1.16E+4 4
2598   81   48      -1.16E+4 4
2599   81   48      -1.16E+4 4
2600   81   48      -1.16E+4 4
2601   75   48         -8432 9
2602   75   48         -8432 9
2603   75   48         -8432 9
2604   76   48         -8845 3
2605   73   48         -7075 8
2606   73   48         -7075 8
2607   74   48         -7649 3
2608   71   48      -5.98E+3 4
2609   71   48      -5.98E+3 4
2610   72   48         -6551 8
2611   70   48        -5636 21
2612   79   48      -1.07E+4 8
2613   77   48         -9591 4
2614   77   48         -9591 4
2615   78   48       -10064 20
2616   88   49       -9.2E+3 6
2617   88   49       -9.2E+3 6
2618   88   49       -9.2E+3 6
2619   87   49       -9.0E+3 6
2620   87   49       -9.0E+3 6
2621   87   49       -9.0E+3 6
2622   86   49       -8.8E+3 6
2623   86   49       -8.8E+3 6
2624   85   49       -8.5E+3 5
2625   85   49       -8.5E+3 5
2626   84   49       -8.2E+3 4
2627   84   49       -8.2E+3 4
2628   84   49       -8.2E+3 4
2629   84   49       -8.2E+3 4
2630   84   49       -8.2E+3 4
2631   83   49      -1.01E+4 3
2632   83   49      -1.01E+4 3
2633   82   49    -1.180E+4 20
2634   82   49    -1.180E+4 20
2635   82   49    -1.180E+4 20
2636   82   49    -1.180E+4 20
2637   82   49    -1.180E+4 20
2638   82   49    -1.180E+4 20
2639   82   49    -1.180E+4 20
2640   82   49    -1.180E+4 20
2641   81   49    -1.161E+4 20
2642   81   49    -1.161E+4 20
2643   81   49    -1.161E+4 20
2644   81   49    -1.161E+4 20
2645   81   49    -1.161E+4 20
2646   81   49    -1.161E+4 20
2647   80   49      -1.07E+4 4
2648   80   49      -1.07E+4 4
2649   80   49      -1.07E+4 4
2650   80   49      -1.07E+4 4
2651   80   49      -1.07E+4 4
2652   80   49      -1.07E+4 4
2653   80   49      -1.07E+4 4
2654   80   49      -1.07E+4 4
2655   80   49      -1.07E+4 4
2656   80   49      -1.07E+4 4
2657   77   49      -9.13E+3 4
2658   77   49      -9.13E+3 4
2659   76   49        -8434 12
2660   76   49        -8434 12
2661   75   49      -7.64E+3 3
2662   75   49      -7.64E+3 3
2663   74   49        -7208 25
2664   74   49        -7208 25
2665   73   49      -6.44E+3 5
2666   73   49      -6.44E+3 5
2667   73   49      -6.44E+3 5
2668   72   49      -6.08E+3 3
2669   72   49      -6.08E+3 3
2670   72   49      -6.08E+3 3
2671   71   49      -5.61E+3 4
2672   71   49      -5.61E+3 4
2673   71   49      -5.61E+3 4
2674   70   49        -5141 20
2675   70   49        -5141 20
2676   70   49        -5141 20
2677   79   49      -1.04E+4 3
2678   79   49      -1.04E+4 3
2679   79   49      -1.04E+4 3
2680   79   49      -1.04E+4 3
2681   78   49      -9.74E+3 3
2682   78   49      -9.74E+3 3
2683   78   49      -9.74E+3 3
2684   78   49      -9.74E+3 3
2685   78   49      -9.74E+3 3
2686   66   49      -3745.8 15
2687   66   49      -3745.8 15
2688   66   49      -3745.8 15
2689   65   49      -3537.4 13
2690   65   49      -3537.4 13
2691   65   49      -3537.4 13
2692   65   49      -3537.4 13
2693   64   49      6081.24 24
2694   64   49      -3072.6 13
2695   63   49         -2808 5
2696   63   49         -2808 5
2697   63   49         -2808 5
2698   62   49         -2410 4
2699   62   49         -2410 4
2700   61   49        -1952 12
2701   61   49        -1952 12
2702   60   49         -1844 6
2703   60   49         -1844 6
2704   60   49         -1844 6
2705   69   49         -4722 9
2706   69   49         -4722 9
2707   69   49         -4722 9
2708   69   49         -4722 9
2709   68   49        -4341 17
2710   68   49        -4341 17
2711   68   49        -4341 17
2712   67   49      -4090.9 24
2713   67   49      -4090.9 24
2714   67   49      -4090.9 24
2715   67   49      -4090.9 24
2716   55   49          -470 8
2717   55   49          -470 8
2718   55   49          -470 8
2719   54   49         -345 11
2720   54   49         -345 11
2721   54   49         -345 11
2722   53   49        -5.E+1 3
2723   53   49        -5.E+1 3
2724   52   49          -66 17
2725   52   49          -66 17
2726   51   49      -2.09E+3 9
2727   51   49      -2.09E+3 9
2728   50   49       -3.9E+3 5
2729   59   49        -1428 10
2730   59   49        -1428 10
2731   58   49        -1189 10
2732   58   49        -1189 10
2733   57   49         -786 15
2734   57   49         -786 15
2735   56   49         -731 11
2736   56   49         -731 11
2737   49   49       -3.9E+3 5
2738   49   49       -3.9E+3 5
2739   48   49       -3.4E+3 6
2740   48   49       -3.4E+3 6
2741   47   49       -1.7E+3 8
2742   49   50       -3.3E+3 8
2743   49   50       -3.3E+3 8
2744   51   50       -2.0E+3 5
2745   51   50       -2.0E+3 5
2746   50   50       -4.0E+3 5
2747   50   50       -4.0E+3 5
2748   53   50       4.1E+2 10
2749   53   50       4.1E+2 10
2750   52   50       2.8E+2 11
2751   55   50            74 4
2752   55   50            74 4
2753   54   50           143 6
2754   57   50          -286 6
2755   56   50          -119 5
2756   59   50          -721 8
2757   58   50          -526 6
2758   60   50        -1135 14
2759   62   50      -1827.5 12
2760   61   50         -1373 6
2761   64   50      8481.58 19
2762   63   50      -2248.7 22
2763   63   50      -2248.7 22
2764   63   50      -2248.7 22
2765   66   50      9278.59 10
2766   65   50        8753.0 3
2767   68   50          9999 5
2768   67   50        9437.0 5
2769   67   50       -3779.4 5
2770   69   50         10126 8
2771   69   50      -4405.4 10
2772   71   50      -5203.1 14
2773   71   50      -5203.1 14
2774   71   50      -5203.1 14
2775   70   50         10688 7
2776   73   50      -6.26E+3 4
2777   73   50      -6.26E+3 4
2778   72   50      1.139E+4 3
2779   75   50      -7244.7 24
2780   75   50      -7244.7 24
2781   74   50         -6699 4
2782   77   50        -8480 10
2783   77   50        -8480 10
2784   76   50        -7828 11
2785   79   50        -9667 18
2786   79   50        -9667 18
2787   79   50        -9667 18
2788   78   50        -9087 18
2789   78   50        -9087 18
2790   80   50        -10301 3
2791   80   50        -10301 3
2792   82   50        -11733 7
2793   81   50        -10948 7
2794   81   50        -10948 7
2795   81   50        -10948 7
2796   84   50        -7741 23
2797   84   50        -7741 23
2798   83   50        -10177 6
2799   83   50        -10177 6
2800   86   50     -8.13E+3 21
2801   86   50     -8.13E+3 21
2802   86   50     -8.13E+3 21
2803   86   50     -8.13E+3 21
2804   85   50        -7845 19
2805   85   50        -7845 19
2806   88   50       -8.5E+3 5
2807   88   50       -8.5E+3 5
2808   88   50       -8.5E+3 5
2809   88   50       -8.5E+3 5
2810   87   50       -8.4E+3 4
2811   87   50       -8.4E+3 4
2812   89   50       -8.9E+3 6
2813   89   50       -8.9E+3 6
2814   89   50       -8.9E+3 6
2815   90   50            0 0
2816   52   51        2.3E+3 4
2817   51   51       -1.9E+3 5
2818   54   51         2104 25
2819   54   51         2104 25
2820   53   51      2.46E+3 10
2821   53   51      2.46E+3 10
2822   53   51      2.46E+3 10
2823   56   51         1554 10
2824   55   51          1797 9
2825   58   51          965 12
2826   57   51          1312 8
2827   59   51          733 14
2828   61   51           96 20
2829   61   51           96 20
2830   60   51          305 13
2831   63   51         -452 23
2832   62   51         -352 18
2833   65   51         -1257 7
2834   65   51         -1257 7
2835   64   51        -1036 16
2836   67   51         -1851 3
2837   67   51         -1851 3
2838   66   51         -1697 8
2839   69   51         -2592 7
2840   69   51         -2592 7
2841   68   51         -2364 7
2842   68   51         -2364 7
2843   70   51          5790 3
2844   72   51       6571.9 24
2845   71   51         -3531 8
2846   71   51         -3531 8
2847   71   51         -3531 8
2848   74   51      -4.85E+3 3
2849   73   51      -4.32E+3 4
2850   73   51      -4.32E+3 4
2851   73   51      -4.32E+3 4
2852   73   51      -4.32E+3 4
2853   76   51        -5694 20
2854   75   51      -5.25E+3 6
2855   75   51      -5.25E+3 6
2856   75   51      -5.25E+3 6
2857   75   51      -5.25E+3 6
2858   78   51        -6642 21
2859   78   51        -6642 21
2860   78   51        -6642 21
2861   78   51        -6642 21
2862   78   51        -6642 21
2863   77   51      -6.19E+3 4
2864   77   51      -6.19E+3 4
2865   77   51      -6.19E+3 4
2866   79   51        -6901 15
2867   79   51        -6901 15
2868   81   51         -7870 3
2869   81   51         -7870 3
2870   80   51        -7526 10
2871   83   51         -6537 4
2872   83   51         -6537 4
2873   83   51         -6537 4
2874   82   51         -8514 4
2875   85   51      -4.52E+3 6
2876   85   51      -4.52E+3 6
2877   84   51         -4091 3
2878   84   51         -4091 3
2879   87   51       -5.1E+3 4
2880   87   51       -5.1E+3 4
2881   87   51       -5.1E+3 4
2882   86   51     -4.79E+3 21
2883   86   51     -4.79E+3 21
2884   89   51       -5.8E+3 7
2885   89   51       -5.8E+3 7
2886   89   51       -5.8E+3 7
2887   89   51       -5.8E+3 7
2888   88   51       -5.4E+3 5
2889   88   51       -5.4E+3 5
2890   90   51       1.23E+4 6
2891   91   51            0 0
2892   54   52          4290 9
2893   55   52          4010 5
2894   55   52          4010 5
2895   52   52            0 AP
2896   53   52          5069 3
2897   58   52          2699 8
2898   58   52          2699 8
2899   59   52          2500 8
2900   59   52          2500 8
2901   56   52          3420 8
2902   56   52          3420 8
2903   56   52          3420 8
2904   57   52          3198 6
2905   57   52          3198 6
2906   57   52          3198 6
2907   57   52          3198 6
2908   61   52       1.86E+3 3
2909   62   52       1.53E+3 3
2910   60   52         2078 10
2911   65   52          808 14
2912   65   52          808 14
2913   66   52          444 18
2914   63   52       1.45E+3 3
2915   63   52       1.45E+3 3
2916   63   52       1.45E+3 3
2917   64   52          966 24
2918   69   52       -5.7E+2 3
2919   69   52       -5.7E+2 3
2920   69   52       -5.7E+2 3
2921   67   52           426 7
