n	 z	 alphaE(keV)	 deltaAlphaE(keV)	 halflife(s)
21 14 -13690.0 4.0 0.78
21 14 -13690.0 4.0 0.78
22 14 -14030.0 7.0 0.45
22 14 -14030.0 7.0 0.45
27 14 -17400.0 8.0 0.02
27 14 -17400.0 8.0 0.02
27 14 -17400.0 8.0 0.02
27 14 -17400.0 8.0 0.02
28 14 -19700.0 6.0 0.0125
28 14 -19700.0 6.0 0.0125
28 14 -19700.0 6.0 0.0125
28 14 -19700.0 6.0 0.0125
25 14 -15700.0 3.0 0.0475
25 14 -15700.0 3.0 0.0475
25 14 -15700.0 3.0 0.0475
26 14 -17100.0 7.0 0.033
26 14 -17100.0 7.0 0.033
26 14 -17100.0 7.0 0.033
26 14 -17100.0 7.0 0.033
20 14 -13535.2 15.0 2.77
29 14 -20900.0 7.0 -1
29 14 -20900.0 7.0 -1
29 14 -20900.0 7.0 -1
29 14 -20900.0 7.0 -1
9 14 -10300.0 5.0 0.0423
9 14 -10300.0 5.0 0.0423
9 14 -10300.0 5.0 0.0423
8 14 0.0 0.0 0.029
8 14 0.0 0.0 0.029
25 15 -16510.0 17.0 0.15
25 15 -16510.0 17.0 0.15
25 15 -16510.0 17.0 0.15
24 15 -14980.0 11.0 0.28
24 15 -14980.0 11.0 0.28
23 15 -14050.0 7.0 0.64
23 15 -14050.0 7.0 0.64
22 15 -12920.0 4.0 2.31
22 15 -12920.0 4.0 2.31
29 15 -20100.0 5.0 0.0185
29 15 -20100.0 5.0 0.0185
29 15 -20100.0 5.0 0.0185
29 15 -20100.0 5.0 0.0185
28 15 -18900.0 4.0 0.0365
28 15 -18900.0 4.0 0.0365
28 15 -18900.0 4.0 0.0365
28 15 -18900.0 4.0 0.0365
27 15 -17800.0 18.0 0.0485
27 15 -17800.0 18.0 0.0485
27 15 -17800.0 18.0 0.0485
26 15 -17210.0 22.0 0.101
26 15 -17210.0 22.0 0.101
26 15 -17210.0 22.0 0.101
21 15 -11577.0 15.0 5.6
21 15 -11577.0 15.0 5.6
20 15 -12332.0 3.0 47.3
32 15 0.0 0.0 -1
31 15 -21600.0 7.0 -1
31 15 -21600.0 7.0 -1
31 15 -21600.0 7.0 -1
31 15 -21600.0 7.0 -1
30 15 -21100.0 6.0 -1
30 15 -21100.0 6.0 -1
30 15 -21100.0 6.0 -1
30 15 -21100.0 6.0 -1
14 15 -10461.8 4.0 4.142
13 15 -9524.0 12.0 0.27030000000000004
13 15 -9524.0 12.0 0.27030000000000004
13 15 -9524.0 12.0 0.27030000000000004
12 15 -9832.0 9.0 0.26
